    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
     103           103     0.5187   1.000E+00   0.1025   0.0150   9.165E-16   7.80678274E-02   2.69174196E-03
     104           104     0.5191   1.000E+00   0.1026   0.0150   8.030E-16   7.80681043E-02   2.69176935E-03
     105           105     0.5172   1.000E+00   0.1027   0.0149   8.333E-16   7.80683813E-02   2.69179677E-03
     106           106     0.5243   1.000E+00   0.1027   0.0149   1.060E-15   7.80686585E-02   2.69182423E-03
     107           107     0.5184   1.000E+00   0.1027   0.0149   9.076E-16   7.80689357E-02   2.69185172E-03
     108           108     0.5238   1.000E+00   0.1027   0.0149   7.908E-16   7.80692131E-02   2.69187924E-03
     109           109     0.5185   1.000E+00   0.1027   0.0149   1.005E-15   7.80694905E-02   2.69190680E-03
     110           110     0.5203   1.000E+00   0.1026   0.0149   7.864E-16   7.80697680E-02   2.69193439E-03
     111           111     0.5238   1.000E+00   0.1026   0.0149   8.765E-16   7.80700456E-02   2.69196201E-03
     112           112     0.5633   1.000E+00   0.1025   0.0149   8.426E-16   7.80703234E-02   2.69198967E-03
     113           113     0.5197   1.000E+00   0.1024   0.0149   8.830E-16   7.80706013E-02   2.69201737E-03
     114           114     0.5251   1.000E+00   0.1024   0.0150   9.666E-16   7.80708794E-02   2.69204510E-03
     115           115     0.5225   1.000E+00   0.1025   0.0150   7.748E-16   7.80711575E-02   2.69207287E-03
     116           116     0.5191   1.000E+00   0.1025   0.0150   7.444E-16   7.80714357E-02   2.69210068E-03
     117           117     0.5261   1.000E+00   0.1025   0.0150   8.121E-16   7.80717141E-02   2.69212853E-03
     118           118     0.5258   1.000E+00   0.1025   0.0150   7.888E-16   7.80719926E-02   2.69215641E-03
     119           119     0.5191   1.000E+00   0.1025   0.0150   7.684E-16   7.80722712E-02   2.69218433E-03
     120           120     0.5200   1.000E+00   0.1025   0.0150   8.858E-16   7.80725499E-02   2.69221229E-03
     121           121     0.5539   1.000E+00   0.1024   0.0150   8.540E-16   7.80728286E-02   2.69224029E-03
     122           122     0.5201   1.000E+00   0.1024   0.0150   9.346E-16   7.80731074E-02   2.69226831E-03
     123           123     0.5336   1.000E+00   0.1023   0.0150   8.830E-16   7.80733864E-02   2.69229638E-03
     124           124     0.5235   1.000E+00   0.1023   0.0150   8.430E-16   7.80736655E-02   2.69232448E-03
     125           125     0.5200   1.000E+00   0.1023   0.0150   8.162E-16   7.80739447E-02   2.69235261E-03
     126           126     0.5199   1.000E+00   0.1023   0.0150   8.779E-16   7.80742241E-02   2.69238078E-03
     127           127     0.5179   1.000E+00   0.1022   0.0150   8.089E-16   7.80745036E-02   2.69240898E-03
     128           128     0.5181   1.000E+00   0.1023   0.0150   1.028E-15   7.80747831E-02   2.69243721E-03
     129           129     0.5280   1.000E+00   0.1023   0.0150   1.041E-15   7.80750628E-02   2.69246547E-03
     130           130     0.5249   1.000E+00   0.1024   0.0150   8.040E-16   7.80753427E-02   2.69249376E-03
     131           131     0.5665   1.000E+00   0.1024   0.0150   8.853E-16   7.80756226E-02   2.69252208E-03
     132           132     0.5206   1.000E+00   0.1024   0.0149   8.958E-16   7.80759025E-02   2.69255043E-03
     133           133     0.5194   1.000E+00   0.1024   0.0149   8.950E-16   7.80761826E-02   2.69257880E-03
     134           134     0.5190   1.000E+00   0.1024   0.0149   8.615E-16   7.80764627E-02   2.69260720E-03
     135           135     0.5186   1.000E+00   0.1024   0.0149   8.066E-16   7.80767430E-02   2.69263562E-03
     136           136     0.5307   1.000E+00   0.1023   0.0150   8.738E-16   7.80770234E-02   2.69266407E-03
     137           137     0.5228   1.000E+00   0.1023   0.0150   8.675E-16   7.80773039E-02   2.69269254E-03
     138           138     0.5219   1.000E+00   0.1023   0.0150   9.575E-16   7.80775846E-02   2.69272103E-03
     139           139     0.5217   1.000E+00   0.1024   0.0150   9.172E-16   7.80778654E-02   2.69274955E-03
     140           140     0.5541   1.000E+00   0.1025   0.0150   8.270E-16   7.80781463E-02   2.69277809E-03
     141           141     0.5255   1.000E+00   0.1025   0.0150   9.220E-16   7.80784273E-02   2.69280666E-03
     142           142     0.5160   1.000E+00   0.1026   0.0150   9.825E-16   7.80787085E-02   2.69283524E-03
     143           143     0.5182   1.000E+00   0.1026   0.0150   8.927E-16   7.80789897E-02   2.69286384E-03
     144           144     0.5201   1.000E+00   0.1027   0.0150   7.556E-16   7.80792710E-02   2.69289247E-03
     145           145     0.5176   1.000E+00   0.1027   0.0150   8.792E-16   7.80795523E-02   2.69292110E-03
     146           146     0.5176   1.000E+00   0.1027   0.0150   8.576E-16   7.80798338E-02   2.69294976E-03
     147           147     0.5169   1.000E+00   0.1027   0.0150   8.219E-16   7.80801153E-02   2.69297843E-03
     148           148     0.5195   1.000E+00   0.1027   0.0150   9.822E-16   7.80803971E-02   2.69300713E-03
     149           149     0.5251   1.000E+00   0.1027   0.0150   9.174E-16   7.80806789E-02   2.69303584E-03
     150           150     0.5655   1.000E+00   0.1027   0.0150   9.450E-16   7.80809609E-02   2.69306457E-03
     151           151     0.5235   1.000E+00   0.1026   0.0150   9.111E-16   7.80812430E-02   2.69309332E-03
     152           152     0.5252   1.000E+00   0.1026   0.0149   8.269E-16   7.80815252E-02   2.69312208E-03
     153           153     0.5170   1.000E+00   0.1026   0.0149   8.589E-16   7.80818075E-02   2.69315087E-03
     154           154     0.5188   1.000E+00   0.1026   0.0149   8.046E-16   7.80820900E-02   2.69317967E-03
     155           155     0.5203   1.000E+00   0.1026   0.0149   8.578E-16   7.80823725E-02   2.69320848E-03
     156           156     0.5176   1.000E+00   0.1027   0.0149   8.923E-16   7.80826551E-02   2.69323732E-03
     157           157     0.5170   1.000E+00   0.1027   0.0149   8.706E-16   7.80829377E-02   2.69326617E-03
     158           158     0.5232   1.000E+00   0.1027   0.0150   8.627E-16   7.80832204E-02   2.69329504E-03
     159           159     0.5333   1.000E+00   0.1028   0.0150   8.503E-16   7.80835033E-02   2.69332393E-03
     160           160     0.5476   1.000E+00   0.1028   0.0150   9.163E-16   7.80837863E-02   2.69335284E-03
     161           161     0.5163   1.000E+00   0.1028   0.0150   7.947E-16   7.80840695E-02   2.69338176E-03
     162           162     0.5167   1.000E+00   0.1028   0.0150   7.859E-16   7.80843528E-02   2.69341070E-03
     163           163     0.5181   1.000E+00   0.1028   0.0150   9.424E-16   7.80846362E-02   2.69343966E-03
     164           164     0.5254   1.000E+00   0.1027   0.0151   9.369E-16   7.80849197E-02   2.69346863E-03
     165           165     0.5240   1.000E+00   0.1027   0.0151   8.800E-16   7.80852033E-02   2.69349762E-03
     166           166     0.5172   1.000E+00   0.1027   0.0151   8.414E-16   7.80854870E-02   2.69352662E-03
     167           167     0.5253   1.000E+00   0.1026   0.0151   9.662E-16   7.80857708E-02   2.69355563E-03
     168           168     0.5190   1.000E+00   0.1026   0.0151   8.894E-16   7.80860546E-02   2.69358466E-03
     169           169     0.5646   1.000E+00   0.1025   0.0151   8.741E-16   7.80863385E-02   2.69361371E-03
     170           170     0.5235   1.000E+00   0.1025   0.0151   7.887E-16   7.80866226E-02   2.69364276E-03
     171           171     0.5221   1.000E+00   0.1024   0.0151   7.680E-16   7.80869068E-02   2.69367183E-03
     172           172     0.5162   1.000E+00   0.1024   0.0151   8.128E-16   7.80871911E-02   2.69370092E-03
