    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
      98            98     0.0057   1.000E+00   0.1020   0.0085   8.451E-16   7.80824798E-02   2.68758998E-03
      99            99     0.0057   1.000E+00   0.1021   0.0085   8.626E-16   7.80828717E-02   2.68759693E-03
     100           100     0.0060   1.000E+00   0.1022   0.0084   9.075E-16   7.80832630E-02   2.68760407E-03
     101           101     0.0058   1.000E+00   0.1022   0.0084   8.407E-16   7.80836538E-02   2.68761140E-03
     102           102     0.0077   1.000E+00   0.1023   0.0084   8.241E-16   7.80840439E-02   2.68761891E-03
     103           103     0.0078   1.000E+00   0.1023   0.0083   9.120E-16   7.80844335E-02   2.68762660E-03
     104           104     0.0079   1.000E+00   0.1023   0.0083   1.068E-15   7.80848225E-02   2.68763446E-03
     105           105     0.0078   1.000E+00   0.1023   0.0083   8.924E-16   7.80852109E-02   2.68764250E-03
     106           106     0.0078   1.000E+00   0.1022   0.0082   9.984E-16   7.80855988E-02   2.68765070E-03
     107           107     0.0078   1.000E+00   0.1022   0.0082   8.750E-16   7.80859861E-02   2.68765908E-03
     108           108     0.0078   1.000E+00   0.1021   0.0082   9.640E-16   7.80863728E-02   2.68766762E-03
     109           109     0.0078   1.000E+00   0.1021   0.0081   8.911E-16   7.80867591E-02   2.68767633E-03
     110           110     0.0078   1.000E+00   0.1022   0.0081   9.450E-16   7.80871447E-02   2.68768519E-03
     111           111     0.0078   1.000E+00   0.1022   0.0081   9.345E-16   7.80875299E-02   2.68769422E-03
     112           112     0.0078   1.000E+00   0.1023   0.0081   9.344E-16   7.80879144E-02   2.68770340E-03
     113           113     0.0078   1.000E+00   0.1023   0.0080   8.487E-16   7.80882985E-02   2.68771274E-03
     114           114     0.0077   1.000E+00   0.1023   0.0080   7.753E-16   7.80886820E-02   2.68772223E-03
     115           115     0.0078   1.000E+00   0.1023   0.0080   8.123E-16   7.80890651E-02   2.68773187E-03
     116           116     0.0078   1.000E+00   0.1023   0.0080   8.639E-16   7.80894475E-02   2.68774167E-03
     117           117     0.0078   1.000E+00   0.1023   0.0080   8.828E-16   7.80898295E-02   2.68775161E-03
     118           118     0.0079   1.000E+00   0.1022   0.0079   8.744E-16   7.80902110E-02   2.68776169E-03
     119           119     0.0078   1.000E+00   0.1022   0.0079   9.559E-16   7.80905919E-02   2.68777192E-03
     120           120     0.0077   1.000E+00   0.1021   0.0079   1.005E-15   7.80909724E-02   2.68778228E-03
     121           121     0.0060   1.000E+00   0.1020   0.0079   8.061E-16   7.80913523E-02   2.68779279E-03
     122           122     0.0075   1.000E+00   0.1020   0.0078   9.073E-16   7.80917318E-02   2.68780343E-03
     123           123     0.0076   1.000E+00   0.1021   0.0078   9.826E-16   7.80921108E-02   2.68781421E-03
     124           124     0.0075   1.000E+00   0.1021   0.0078   8.833E-16   7.80924892E-02   2.68782511E-03
     125           125     0.0075   1.000E+00   0.1021   0.0077   9.138E-16   7.80928672E-02   2.68783615E-03
     126           126     0.0076   1.000E+00   0.1021   0.0077   8.295E-16   7.80932447E-02   2.68784731E-03
     127           127     0.0078   1.000E+00   0.1021   0.0077   8.229E-16   7.80936218E-02   2.68785860E-03
     128           128     0.0077   1.000E+00   0.1021   0.0076   8.398E-16   7.80939983E-02   2.68787000E-03
     129           129     0.0063   1.000E+00   0.1020   0.0076   8.512E-16   7.80943744E-02   2.68788153E-03
     130           130     0.0059   1.000E+00   0.1020   0.0076   9.062E-16   7.80947500E-02   2.68789318E-03
     131           131     0.0059   1.000E+00   0.1019   0.0076   8.442E-16   7.80951251E-02   2.68790494E-03
     132           132     0.0058   1.000E+00   0.1018   0.0076   7.304E-16   7.80954998E-02   2.68791682E-03
     133           133     0.0057   1.000E+00   0.1017   0.0075   7.510E-16   7.80958741E-02   2.68792881E-03
     134           134     0.0058   1.000E+00   0.1016   0.0075   1.024E-15   7.80962478E-02   2.68794090E-03
     135           135     0.0058   1.000E+00   0.1016   0.0075   8.077E-16   7.80966211E-02   2.68795311E-03
     136           136     0.0059   1.000E+00   0.1016   0.0075   1.006E-15   7.80969940E-02   2.68796542E-03
     137           137     0.0074   1.000E+00   0.1016   0.0074   8.542E-16   7.80973664E-02   2.68797783E-03
     138           138     0.0064   1.000E+00   0.1016   0.0074   8.477E-16   7.80977384E-02   2.68799035E-03
     139           139     0.0057   1.000E+00   0.1016   0.0074   9.418E-16   7.80981100E-02   2.68800297E-03
     140           140     0.0057   1.000E+00   0.1016   0.0074   8.573E-16   7.80984811E-02   2.68801569E-03
     141           141     0.0058   1.000E+00   0.1016   0.0073   7.941E-16   7.80988517E-02   2.68802851E-03
     142           142     0.0057   1.000E+00   0.1017   0.0073   9.440E-16   7.80992220E-02   2.68804142E-03
     143           143     0.0057   1.000E+00   0.1017   0.0073   8.647E-16   7.80995918E-02   2.68805443E-03
     144           144     0.0058   1.000E+00   0.1017   0.0072   8.389E-16   7.80999612E-02   2.68806753E-03
     145           145     0.0057   1.000E+00   0.1018   0.0072   9.745E-16   7.81003301E-02   2.68808072E-03
     146           146     0.0058   1.000E+00   0.1018   0.0072   8.009E-16   7.81006987E-02   2.68809401E-03
     147           147     0.0057   1.000E+00   0.1018   0.0072   8.781E-16   7.81010668E-02   2.68810739E-03
     148           148     0.0058   1.000E+00   0.1018   0.0071   8.894E-16   7.81014345E-02   2.68812086E-03
     149           149     0.0057   1.000E+00   0.1019   0.0071   8.829E-16   7.81018018E-02   2.68813441E-03
     150           150     0.0058   1.000E+00   0.1019   0.0071   7.737E-16   7.81021687E-02   2.68814806E-03
     151           151     0.0057   1.000E+00   0.1019   0.0071   8.827E-16   7.81025352E-02   2.68816179E-03
     152           152     0.0058   1.000E+00   0.1019   0.0071   9.266E-16   7.81029013E-02   2.68817560E-03
     153           153     0.0057   1.000E+00   0.1019   0.0071   8.752E-16   7.81032670E-02   2.68818951E-03
     154           154     0.0057   1.000E+00   0.1019   0.0070   9.037E-16   7.81036323E-02   2.68820349E-03
